learning_model,learning_model_gr_k5,learning_model_gr68,learning_model_gr912,time_period_start,time_period_end,enrollment_total,enrollment_in_person,enrollment_hybrid,enrollment_virtual,staff_count,staff_count_in_person
Hybrid,Hybrid,Hybrid,NA,2021-04-04T00:00:00Z,2021-04-10T00:00:00Z,1127,NA,NA,NA,79,NA
Closed,NA,NA,NA,2021-04-11T00:00:00Z,2021-04-17T00:00:00Z,1127,NA,NA,NA,79,NA
Virtual,Virtual,Virtual,NA,2021-04-18T00:00:00Z,2021-04-24T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-04-25T00:00:00Z,2021-05-01T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-05-02T00:00:00Z,2021-05-08T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-05-09T00:00:00Z,2021-05-15T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-05-16T00:00:00Z,2021-05-22T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-05-23T00:00:00Z,2021-05-29T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-05-30T00:00:00Z,2021-06-05T00:00:00Z,1127,NA,NA,NA,79,NA
Virtual,Virtual,Virtual,Virtual,2020-08-30T00:00:00Z,2020-09-05T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-09-06T00:00:00Z,2020-09-12T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-09-13T00:00:00Z,2020-09-19T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-09-20T00:00:00Z,2020-09-26T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-09-27T00:00:00Z,2020-10-03T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-10-04T00:00:00Z,2020-10-10T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-10-11T00:00:00Z,2020-10-17T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-10-18T00:00:00Z,2020-10-24T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Hybrid,2020-10-25T00:00:00Z,2020-10-31T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-11-01T00:00:00Z,2020-11-07T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-11-08T00:00:00Z,2020-11-14T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-11-15T00:00:00Z,2020-11-21T00:00:00Z,1164,NA,NA,NA,113,NA
Closed,NA,NA,NA,2020-11-22T00:00:00Z,2020-11-28T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-11-29T00:00:00Z,2020-12-05T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-12-06T00:00:00Z,2020-12-12T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2020-12-13T00:00:00Z,2020-12-19T00:00:00Z,1164,NA,NA,NA,113,NA
Closed,NA,NA,NA,2020-12-20T00:00:00Z,2020-12-26T00:00:00Z,1164,NA,NA,NA,113,NA
Closed,NA,NA,NA,2020-12-27T00:00:00Z,2021-01-02T00:00:00Z,1164,NA,NA,NA,113,NA
