File,Area,total_loss_of_employment_income,percent_loss_of_employment_income
4,New York,8420249,56.9
4,North Carolina,3598578,45
4,North Dakota,195370,34.9
4,Ohio,4292345,48.9
4,Oklahoma,1312450,45.4
4,Oregon,1671449,50.8
4,Pennsylvania,4933539,50.7
4,Rhode Island,403263,49.5
4,South Carolina,1718718,43.7
4,South Dakota,247613,38.6
4,Tennessee,2316787,44.7
4,Texas,10594761,49.9
4,Utah,997071,43.8
4,Vermont,229075,47.3
4,Virginia,2657548,41.2
4,Washington,2769312,47.2
4,West Virginia,527412,38.3
4,Wisconsin,1779463,40.2
4,Wyoming,165209,38.4
4,-> Metro Areas,NA,NA
4,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2162186,50.8
4,"Boston-Cambridge-Newton, MA-NH Metro Area",1850498,47.7
4,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3361845,48.5
4,"Dallas-Fort Worth-Arlington, TX Metro Area",2751668,46.8
4,"Detroit-Warren-Dearborn, MI Metro Area",2149212,61.2
4,"Houston-The Woodlands-Sugar Land, TX Metro Area",3221216,56.7
4,"Los Angeles-Long Beach-Anaheim, CA Metro Area",6025914,54.8
4,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2775163,60.9
4,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",8192868,57.6
4,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2525342,52.9
4,"Phoenix-Mesa-Chandler, AZ Metro Area",1908698,49.5
4,"Riverside-San Bernardino-Ontario, CA Metro Area",2542406,61.3
4,"San Francisco-Oakland-Berkeley, CA Metro Area",1782658,48.1
4,"Seattle-Tacoma-Bellevue, WA Metro Area",1569653,48.1
4,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2182724,43.8
5,Alabama,1684668,45.5
5,Alaska,233598,44.5
5,Arizona,2444829,43.8
5,Arkansas,881256,39.5
5,California,16471831,55.2
5,Colorado,2171527,48.8
5,Connecticut,1251566,45.9
5,Delaware,336949,44.7
5,District of Columbia,229674,42.4
5,Florida,8151064,47.9
5,Georgia,3795144,48
5,Hawaii,542213,50.8
5,Idaho,511577,38.7
5,Illinois,4628797,49
5,Indiana,2057326,41.2
5,Iowa,863120,37
5,Kansas,828284,39
5,Kentucky,1443776,43.4
5,Louisiana,1755229,51.3
5,Maine,476609,45
5,Maryland,1853977,40.8
5,Massachusetts,2579966,48.6
5,Michigan,4263419,55.9
5,Minnesota,1846231,44.3
5,Mississippi,1093916,50.3
5,Missouri,2021506,44.1
5,Montana,337034,41.1
5,Nebraska,509833,36
5,Nevada,1300099,54.4
