"Loss of Employment Income, Household Pulse Survey",...2,...3,...4,...5,...6,...7,...8
"Adults in households where someone had a loss in employment income since March 13, 2020",NA,NA,NA,NA,NA,NA,NA
NA,NA,Total Loss of Employment Income,NA,Percent Loss of Employment Income,NA,NA,NA
Area,Week,Number,Margin of Error +/-,Percent,Percent Margin of Error +/-,Measure Universe,Total Population age 18+
"Houston-The Woodlands-Sugar Land, TX Metro Area","5 - May 28-June 2, 2020",3221216,322610,56.7,3.2,5678407,"5,742,798"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","5 - May 28-June 2, 2020",6025914,441447,54.8,3.2,10996611,"11,017,907"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","5 - May 28-June 2, 2020",2775163,299140,60.9,3.6,4554114,"4,590,306"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","5 - May 28-June 2, 2020",8192868,511198,57.6,2.8,14217948,"14,303,693"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5 - May 28-June 2, 2020",2525342,230345,52.9,3.6,4774667,"4,793,430"
"Phoenix-Mesa-Chandler, AZ Metro Area","5 - May 28-June 2, 2020",1908698,148507,49.5,2.9,3856725,"3,877,115"
"Riverside-San Bernardino-Ontario, CA Metro Area","5 - May 28-June 2, 2020",2542406,383085,61.3,4.9,4150424,"4,160,231"
"San Francisco-Oakland-Berkeley, CA Metro Area","5 - May 28-June 2, 2020",1782658,270496,48.1,4.7,3703332,"3,713,836"
"Seattle-Tacoma-Bellevue, WA Metro Area","5 - May 28-June 2, 2020",1569653,151210,48.1,3.9,3264933,"3,284,848"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","5 - May 28-June 2, 2020",2182724,179938,43.8,2.7,4980210,"4,998,796"
"Source: U.S. Census Bureau, Household Pulse Survey",NA,NA,NA,NA,NA,NA,NA
"Adults in households where someone had a loss in employment income since March 13, 2020",NA,NA,NA,NA,NA,NA,NA
NA,NA,Total Loss of Employment Income,NA,Percent Loss of Employment Income,NA,NA,NA
